# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v2.0.11                                                     
#!BT DATE                        04-NOV-2021_10:04:01_+0100                                  
#!BT SYSID                       [none]                                                      
#!BT NATOMS                      4                                                           
#!BT NTYPES                      1                                                           
#!BT ATOMSPERTYPE                4                                                           
#!BT NELEC                       2.000000E+00,2.000000E+00                                   
#!BT DX                   a0     5.000000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   2.067069E-01                                                
#!BT BOOSTMASK                   no                                                          
#!BT BOOSTENERGY          Ry     0.000000E+00                                                
#!BT BOOSTKVEC                   0.000000E+00,0.000000E+00,0.000000E+00                      
#!BT EXCITATION                  laser_mono                                                  
#!BT EXCITMASK                   gauss                                                       
#!BT NLASER                      1                                                           
#!BT LASERFREQ            Ry     1.520014E-01                                                
#!BT LASERINT             W/cm^2 1.000000E+07                                                
#!BT LASEREFIELD          E_ry   2.387186E-05                                                
#!BT LASERPOLX                   0.000000E+00                                                
#!BT LASERPOLY                   0.000000E+00                                                
#!BT LASERPOLZ                   1.000000E+00                                                
#!BT LASERSTART           t_ry   0.000000E+00                                                
#!BT LASEREND             t_ry   2.067069E+02                                                
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        atomgroups1                                                 
#!BT NAREAS                      2                                                           
#!BT AREA                        2                                                           
#!BT SPIN                        tot                                                         
#!BT DIP0                 dip_ry -2.264660E+01,-8.254905E-14,6.617287E-13                    
#time                 |           x          |           y          |           z          |
 1.012863646745753E+01 -9.098193487488970E-08 -4.969634512121546E-08 -1.048432761018195E-06
 1.033534333414034E+01 -9.254379662593237E-08 -5.389845903233961E-08 -1.164378975645232E-06
 1.054205020082315E+01 -9.400708833595672E-08 -5.829073534173282E-08 -1.288968527432118E-06
 1.074875706750595E+01 -9.539229139932104E-08 -6.287648332943701E-08 -1.422521781690600E-06
 1.095546393418876E+01 -9.669890133068293E-08 -6.766064041700412E-08 -1.565362504793728E-06
 1.116217080087157E+01 -9.790740662651842E-08 -7.264935614549060E-08 -1.717817821641061E-06
 1.136887766755437E+01 -9.904661979476259E-08 -7.784948763448734E-08 -1.880207551187438E-06
 1.157558453423718E+01 -1.000926417304981E-07 -8.327034369052061E-08 -2.052861742037772E-06
 1.178229140091999E+01 -1.010512775678762E-07 -8.892245974775857E-08 -2.236104739252740E-06
 1.198899826760280E+01 -1.019362017018466E-07 -9.481922123534379E-08 -2.430260245776719E-06
 1.219570513428560E+01 -1.027183280655208E-07 -1.009742859322054E-07 -2.635650297683217E-06
 1.240241200096841E+01 -1.034266077226675E-07 -1.074023774422239E-07 -2.852581053555976E-06
 1.260911886765122E+01 -1.040430888110677E-07 -1.141232858859152E-07 -3.081364906400368E-06
 1.281582573433402E+01 -1.045633766239007E-07 -1.211556401218890E-07 -3.322294511758439E-06
 1.302253260101683E+01 -1.050073414887720E-07 -1.285236161587514E-07 -3.575658381912282E-06
 1.322923946769964E+01 -1.053510807480507E-07 -1.362562998375368E-07 -3.841747726133513E-06
 1.343594633438244E+01 -1.056103648977569E-07 -1.443857736266491E-07 -4.120841807139288E-06
 1.364265320106525E+01 -1.057862952791311E-07 -1.529472890783303E-07 -4.413208363783275E-06
 1.384936006774806E+01 -1.058619041316433E-07 -1.619819335110267E-07 -4.719121090963378E-06
 1.405606693443086E+01 -1.058623126937164E-07 -1.715353165993727E-07 -5.038839375868941E-06
 1.426277380111367E+01 -1.057692102790497E-07 -1.816577223371369E-07 -5.372623498446942E-06
 1.446948066779648E+01 -1.055894074397656E-07 -1.924042633982027E-07 -5.720725587007978E-06
 1.467618753447928E+01 -1.053381986082513E-07 -2.038312589048612E-07 -6.083373601899532E-06
 1.488289440116209E+01 -1.049949496234603E-07 -2.159999510724054E-07 -6.460795810842289E-06
 1.508960126784490E+01 -1.045852933145852E-07 -2.289752912689925E-07 -6.853190552425964E-06
 1.529630813452770E+01 -1.040996977508257E-07 -2.428236104239629E-07 -7.260740371567691E-06
 1.550301500121051E+01 -1.035341732347206E-07 -2.576160832468557E-07 -7.683605880270184E-06
 1.570972186789332E+01 -1.029101959204581E-07 -2.734196046640402E-07 -8.121894510972838E-06
 1.591642873457612E+01 -1.022067515066283E-07 -2.903079901478646E-07 -8.575709674245635E-06
 1.612313560125893E+01 -1.014421080469674E-07 -3.083566342275357E-07 -9.045107798592085E-06
 1.632984246794174E+01 -1.006194629837864E-07 -3.276404717621060E-07 -9.530113781037305E-06
 1.653654933462455E+01 -9.972709946737268E-08 -3.482382868914272E-07 -1.003071896728594E-05
 1.674325620130735E+01 -9.878952056396884E-08 -3.702273428892008E-07 -1.054686708335611E-05
 1.694996306799016E+01 -9.779139986676455E-08 -3.936889473539154E-07 -1.107848041159907E-05
 1.715666993467297E+01 -9.673979306512592E-08 -4.187055097133659E-07 -1.162543057877974E-05
 1.736337680135577E+01 -9.564608660639351E-08 -4.453629283318775E-07 -1.218757007302777E-05
 1.757008366803858E+01 -9.449269100514357E-08 -4.737492387432278E-07 -1.276470822492403E-05
 1.777679053472139E+01 -9.330060635193149E-08 -5.039532657745505E-07 -1.335661742094494E-05
 1.798349740140419E+01 -9.206316775589585E-08 -5.360696161385830E-07 -1.396305284291820E-05
 1.819020426808700E+01 -9.077667328938333E-08 -5.701961098375352E-07 -1.458373280390144E-05
 1.839691113476981E+01 -8.946045326752028E-08 -6.064301454640978E-07 -1.521834486551299E-05
 1.860361800145262E+01 -8.809643148310897E-08 -6.448756475541621E-07 -1.586655047356091E-05
 1.881032486813542E+01 -8.669811535355620E-08 -6.856370484968486E-07 -1.652798294255415E-05
 1.901703173481823E+01 -8.526939510034026E-08 -7.288188159211326E-07 -1.720223465726113E-05
 1.922373860150104E+01 -8.379580052064739E-08 -7.745297865593658E-07 -1.788887754330185E-05
 1.943044546818384E+01 -8.230097137129633E-08 -8.228740472185461E-07 -1.858743597529709E-05
 1.963715233486665E+01 -8.077079627355488E-08 -8.739595099774527E-07 -1.929740407683977E-05
 1.984385920154946E+01 -7.921096667473648E-08 -9.278910889422795E-07 -2.001823954567828E-05
 2.005056606823226E+01 -7.763715359487833E-08 -9.847687622585711E-07 -2.074934129158761E-05
 2.025727293491507E+01 -7.602972118547768E-08 -1.044690633563134E-06 -2.149006775104209E-05
 2.046397980159788E+01 -7.441149207920716E-08 -1.107747843370858E-06 -2.223971590413124E-05
 2.067068666828068E+01 -7.277585112319684E-08 -1.174032220616881E-06 -2.299753711357916E-05
 2.087739353496349E+01 -7.111693633987670E-08 -1.243627391400466E-06 -2.376271944482974E-05
 2.108410040164630E+01 -6.945838038063812E-08 -1.316614309012005E-06 -2.453438445146542E-05
 2.129080726832910E+01 -6.777724692597076E-08 -1.393069772617429E-06 -2.531159935609671E-05
 2.149751413501191E+01 -6.609201008700438E-08 -1.473062880734540E-06 -2.609335588028888E-05
 2.170422100169472E+01 -6.440429345389020E-08 -1.556661370153793E-06 -2.687859022019508E-05
 2.191092786837752E+01 -6.269806362979580E-08 -1.643923701087698E-06 -2.766617487419541E-05
 2.211763473506033E+01 -6.100287563981510E-08 -1.734902726258706E-06 -2.845490877266333E-05
 2.232434160174314E+01 -5.929663515757966E-08 -1.829643662032774E-06 -2.924354220926819E-05
 2.253104846842594E+01 -5.759333276955658E-08 -1.928183490828314E-06 -3.003076451289846E-05
 2.273775533510875E+01 -5.590558771473297E-08 -2.030551448567937E-06 -3.081520405526526E-05
 2.294446220179156E+01 -5.421273030492557E-08 -2.136765462428170E-06 -3.159544122056747E-05
 2.315116906847437E+01 -5.254667101439736E-08 -2.246836491364026E-06 -3.236999902206438E-05
 2.335787593515717E+01 -5.089023957793870E-08 -2.360765187138673E-06 -3.313736215560344E-05
 2.356458280183998E+01 -4.924725516275430E-08 -2.478543336321449E-06 -3.389597075337259E-05
 2.377128966852279E+01 -4.763737138091528E-08 -2.600156632176570E-06 -3.464422968637950E-05
 2.397799653520559E+01 -4.603300141070577E-08 -2.725578247166238E-06 -3.538051020794642E-05
 2.418470340188840E+01 -4.446225077003874E-08 -2.854778080826787E-06 -3.610316077004468E-05
 2.439141026857121E+01 -4.291620570029409E-08 -2.987713891938459E-06 -3.681050663211652E-05
 2.459811713525401E+01 -4.138614073667668E-08 -3.124336073986991E-06 -3.750085885162510E-05
 2.480482400193682E+01 -3.989845254182001E-08 -3.264586938567532E-06 -3.817251834529458E-05
 2.501153086861963E+01 -3.843135942815934E-08 -3.408396442914232E-06 -3.882377992001373E-05
 2.521823773530243E+01 -3.699493689168776E-08 -3.555691171545033E-06 -3.945294341466186E-05
 2.542494460198524E+01 -3.560182548767443E-08 -3.706386404444079E-06 -4.005831680724668E-05
 2.563165146866805E+01 -3.422996996960137E-08 -3.860388609715659E-06 -4.063821330976680E-05
 2.583835833535085E+01 -3.290287509116752E-08 -4.017599441253563E-06 -4.119097021648970E-05
