# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v3.6.0_alpha                                                
#!BT DATE                        21-JUN-2024_14:13:08_+0200                                  
#!BT SYSID                       "Na4_dx0.7"                                                 
#!BT NATOMS                      4                                                           
#!BT NTYPES                      1                                                           
#!BT ATOMSPERTYPE                4                                                           
#!BT NELEC                       2.000000E+00,2.000000E+00                                   
#!BT DX                   a0     7.000000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   2.067069E-01                                                
#!BT BOOSTMASK                   global                                                      
#!BT BOOSTENERGY          Ry     1.000000E-04                                                
#!BT BOOSTKVEC                   5.773503E-01,5.773503E-01,5.773503E-01                      
#!BT EXCITATION                  no                                                          
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      0                                                           
#!BT LASERFREQ            Ry                                                                 
#!BT LASERINT             W/cm^2                                                             
#!BT LASEREFIELD          E_ry                                                               
#!BT LASERPOLX                                                                               
#!BT LASERPOLY                                                                               
#!BT LASERPOLZ                                                                               
#!BT LASERSTART           t_ry                                                               
#!BT LASEREND             t_ry                                                               
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT AREA_NAME                   global                                                      
#!BT DIP0                 dip_ry 2.618125E-07,-3.418858E-08,-2.717010E-08                    
#time                 |           x          |           y          |           z          |
 1.012863646745753E+01 -8.304791604164002E-02 -1.270430385065460E-01 -2.217931010528080E-01
 1.033534333414034E+01 -7.874483753325304E-02 -1.238494868109629E-01 -2.228016005038164E-01
 1.054205020082315E+01 -7.406370421750727E-02 -1.201216032894695E-01 -2.232987157030368E-01
 1.074875706750596E+01 -6.952139373209927E-02 -1.165373860964856E-01 -2.239341720267213E-01
 1.095546393418876E+01 -6.476660949965542E-02 -1.126358462992392E-01 -2.242700163562757E-01
 1.116217080087157E+01 -5.986560786464629E-02 -1.084758503022306E-01 -2.243300969340771E-01
 1.136887766755438E+01 -5.510213653740690E-02 -1.044465319062718E-01 -2.245057466344434E-01
 1.157558453423718E+01 -5.002676098997640E-02 -9.993338066399357E-02 -2.241902562237711E-01
 1.178229140091999E+01 -4.506863928114620E-02 -9.549617803734092E-02 -2.239047672545186E-01
 1.198899826760280E+01 -4.005890103379440E-02 -9.091632461228694E-02 -2.234615675414771E-01
 1.219570513428560E+01 -3.486425163596629E-02 -8.598649203808953E-02 -2.226284481963802E-01
 1.240241200096841E+01 -2.988229932400136E-02 -8.124953074470109E-02 -2.219299801186848E-01
 1.260911886765122E+01 -2.468623688999918E-02 -7.612078431386210E-02 -2.208123743624558E-01
 1.281582573433402E+01 -1.955814978710485E-02 -7.096505312212573E-02 -2.195916289169826E-01
 1.302253260101683E+01 -1.453026857271600E-02 -6.583935748896454E-02 -2.183411500466748E-01
 1.322923946769964E+01 -9.323483317355984E-03 -6.034084739488969E-02 -2.166519129501681E-01
 1.343594633438244E+01 -4.361448553871107E-03 -5.505378400362607E-02 -2.150642475240996E-01
 1.364265320106525E+01  6.789878556607349E-04 -4.953641578213978E-02 -2.131750570341781E-01
 1.384936006774806E+01  5.696880875910048E-03 -4.391039998103174E-02 -2.110632905910940E-01
 1.405606693443086E+01  1.050132165497308E-02 -3.845834160259778E-02 -2.090131147587523E-01
 1.426277380111367E+01  1.543553139310328E-02 -3.268349192544418E-02 -2.065491657733571E-01
 1.446948066779648E+01  2.012172914378373E-02 -2.710355957693873E-02 -2.041275925690689E-01
 1.467618753447928E+01  2.473865590914266E-02 -2.147724091883100E-02 -2.015436450032026E-01
 1.488289440116209E+01  2.935415703489539E-02 -1.569230484731328E-02 -1.986546208640152E-01
 1.508960126784490E+01  3.368369862729516E-02 -1.017306997361086E-02 -1.958578349663549E-01
 1.529630813452771E+01  3.808116589280397E-02 -4.415990680842518E-03 -1.927019566040557E-01
 1.550301500121051E+01  4.227799667145985E-02  1.210925555236470E-03 -1.894924607850776E-01
 1.570972186789332E+01  4.629248265140924E-02  6.726292864077939E-03 -1.862347788498250E-01
 1.591642873457613E+01  5.031529893651060E-02  1.242566272779813E-02 -1.826346732029021E-01
 1.612313560125893E+01  5.401857194073251E-02  1.782227744378936E-02 -1.791211182672429E-01
 1.632984246794174E+01  5.769174275952827E-02  2.332969285693806E-02 -1.753448957549512E-01
 1.653654933462455E+01  6.121071722387559E-02  2.878076009534231E-02 -1.714288190725767E-01
 1.674325620130735E+01  6.446836619484075E-02  3.399840122120969E-02 -1.675497235243042E-01
 1.694996306799016E+01  6.773095472486507E-02  3.938778128479865E-02 -1.633343981209981E-01
 1.715666993467297E+01  7.069314075808431E-02  4.449180753323673E-02 -1.591643689135392E-01
 1.736337680135577E+01  7.354338620126494E-02  4.957434535851268E-02 -1.548380616738031E-01
 1.757008366803858E+01  7.629512149720959E-02  5.467258710073768E-02 -1.503050981266732E-01
 1.777679053472139E+01  7.874552778931990E-02  5.946168114181966E-02 -1.458654864589603E-01
 1.798349740140419E+01  8.118047515309884E-02  6.437419003519813E-02 -1.411457518501651E-01
 1.819020426808700E+01  8.336170375972951E-02  6.905704390885538E-02 -1.364117336983287E-01
 1.839691113476981E+01  8.534671695062744E-02  7.358195862799193E-02 -1.316251401965161E-01
 1.860361800145261E+01  8.726133703749513E-02  7.815370477031065E-02 -1.265938740326300E-01
 1.881032486813542E+01  8.885152970635329E-02  8.237052185766748E-02 -1.216577994021174E-01
 1.901703173481823E+01  9.036159720111649E-02  8.660527155446422E-02 -1.165194276418602E-01
 1.922373860150104E+01  9.166921603605201E-02  9.066403250937044E-02 -1.113045744951565E-01
 1.943044546818384E+01  9.272571082712741E-02  9.444956941852542E-02 -1.061211100658469E-01
 1.963715233486665E+01  9.372712389133997E-02  9.828020581856005E-02 -1.007028987880347E-01
 1.984385920154946E+01  9.443446712356632E-02  1.017590080202330E-01 -9.535445349547109E-02
 2.005056606823226E+01  9.501833883760945E-02  1.051504938838980E-01 -8.989079227925713E-02
 2.025727293491507E+01  9.545953158840909E-02  1.084348139551521E-01 -8.430510698899318E-02
 2.046397980159788E+01  9.562862812781395E-02  1.113768601755499E-01 -7.880038445844871E-02
 2.067068666828068E+01  9.574429495246224E-02  1.143450349533347E-01 -7.309902174251004E-02
 2.087739353496349E+01  9.560950433914889E-02  1.170158312312537E-01 -6.742804028200987E-02
 2.108410040164630E+01  9.530252512636085E-02  1.194965537399381E-01 -6.172825366875243E-02
 2.129080726832910E+01  9.489387934004391E-02  1.219221816715639E-01 -5.588286351911086E-02
