# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v2.0.8-274-g813ffda                                         
#!BT DATE                        06-APR-2021_15:53:23_+0200                                  
#!BT SYSID                       [none]                                                      
#!BT NATOMS                      44                                                          
#!BT NTYPES                      4                                                           
#!BT ATOMSPERTYPE                20,2,4,18                                                   
#!BT NELEC                       6.600000E+01,6.600000E+01                                   
#!BT DX                   a0     3.500000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   2.067069E-01                                                
#!BT BOOSTMASK                   global                                                      
#!BT BOOSTENERGY          Ry     1.000000E-07                                                
#!BT BOOSTKVEC                   1.000000E+00,0.000000E+00,0.000000E+00                      
#!BT EXCITATION                  no                                                          
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      0                                                           
#!BT LASERFREQ            Ry                                                                 
#!BT LASERINT             W/cm^2                                                             
#!BT LASEREFIELD          E_ry                                                               
#!BT LASERPOLX                                                                               
#!BT LASERPOLY                                                                               
#!BT LASERPOLZ                                                                               
#!BT LASERSTART           t_ry                                                               
#!BT LASEREND             t_ry                                                               
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT DIP0                 dip_ry -6.321277E-03,-1.125717E+00,-4.509021E-02                   
#time                 |           x          |           y          |           z          |
 1.054205020082315E+01  1.725988688724041E-04  1.783371016217394E-05  4.183770078870150E-04
 1.074875706750595E+01  1.526238956575153E-04  1.435150906181626E-05  3.944752774395210E-04
 1.095546393418876E+01  1.575570032107034E-04  1.108881174927134E-05  3.552701320830229E-04
 1.116217080087157E+01  1.837218386525254E-04  8.821424166027825E-06  3.018324082292370E-04
 1.136887766755437E+01  2.244850892129842E-04  8.177582547785889E-06  2.361632684569973E-04
 1.157558453423718E+01  2.711492555558213E-04  9.465057307478375E-06  1.626395856789767E-04
 1.178229140091999E+01  3.148274399693242E-04  1.220311083471870E-05  8.824162433646032E-05
 1.198899826760280E+01  3.468475931958127E-04  1.545321891183171E-05  2.075743797580465E-05
 1.219570513428560E+01  3.592358700436459E-04  1.837333793242024E-05 -3.421703958670502E-05
 1.240241200096841E+01  3.477572246369737E-04  2.023655914862310E-05 -7.399016587988222E-05
 1.260911886765122E+01  3.124456138144712E-04  2.049876774656845E-05 -9.856095587387759E-05
 1.281582573433402E+01  2.551859824051657E-04  1.897532487094011E-05 -1.096550531454188E-04
 1.302253260101683E+01  1.801172124015898E-04  1.597336361469637E-05 -1.093752404786111E-04
 1.322923946769964E+01  9.399267368995472E-05  1.244134220979021E-05 -1.007732159955879E-04
 1.343594633438244E+01  3.647966323331100E-06  9.142329376876646E-06 -8.737172927057724E-05
 1.364265320106525E+01 -8.523986458596877E-05  6.542696305844586E-06 -7.136091012118623E-05
 1.384936006774806E+01 -1.676001184715012E-04  4.735470203076630E-06 -5.388438382283173E-05
 1.405606693443086E+01 -2.396856689803831E-04  2.915497927746813E-06 -3.673245811195575E-05
 1.426277380111367E+01 -2.996967502808343E-04  1.044118038695530E-07 -2.221153118062147E-05
 1.446948066779648E+01 -3.473188660066727E-04 -4.266198682101319E-06 -1.173317996978895E-05
 1.467618753447928E+01 -3.837770375619051E-04 -9.730141456332220E-06 -6.631856318828344E-06
 1.488289440116209E+01 -4.110458973716515E-04 -1.523814596082751E-05 -9.080280186014866E-06
 1.508960126784490E+01 -4.294477767102928E-04 -2.019343971793042E-05 -2.098650230424048E-05
 1.529630813452770E+01 -4.370751625525533E-04 -2.473224526311490E-05 -4.314886101777077E-05
 1.550301500121051E+01 -4.322514390563623E-04 -2.912554961609359E-05 -7.504881719336276E-05
 1.570972186789332E+01 -4.154272850871695E-04 -3.270908359209734E-05 -1.145462561216448E-04
 1.591642873457612E+01 -3.880456667955997E-04 -3.449446492487240E-05 -1.583694722553375E-04
 1.612313560125893E+01 -3.522005473586051E-04 -3.400765667094241E-05 -2.037887073432151E-04
 1.632984246794174E+01 -3.118239132367641E-04 -3.127555763149381E-05 -2.495417500311056E-04
 1.653654933462455E+01 -2.710311396024404E-04 -2.645819217939049E-05 -2.937541321443374E-04
 1.674325620130735E+01 -2.308455500393391E-04 -2.031784152678462E-05 -3.326706015506983E-04
 1.694996306799016E+01 -1.897537319707305E-04 -1.395262937520236E-05 -3.621328705851606E-04
 1.715666993467297E+01 -1.463188060322777E-04 -8.263923523266214E-06 -3.788006973068914E-04
 1.736337680135577E+01 -1.007010650961619E-04 -4.372637786076439E-06 -3.812284964292492E-04
 1.757008366803858E+01 -5.518586018610390E-05 -2.693472551440479E-06 -3.699050263939394E-04
 1.777679053472139E+01 -1.290065910337576E-05 -2.303718561913470E-06 -3.463457657650257E-04
 1.798349740140419E+01  2.365751175860149E-05 -1.672151450193837E-06 -3.122906847832854E-04
 1.819020426808700E+01  5.374904013201107E-05  1.203464277121924E-07 -2.685065684117013E-04
 1.839691113476981E+01  7.826363947292803E-05  3.544212345163444E-06 -2.149426344518340E-04
 1.860361800145262E+01  9.805413805535294E-05  8.363518593013097E-06 -1.518045605765489E-04
 1.881032486813542E+01  1.131624989117218E-04  1.325601153423506E-05 -7.992873269373202E-05
 1.901703173481823E+01  1.245484497948953E-04  1.682993572371672E-05 -7.117576840687256E-07
 1.922373860150104E+01  1.338966419960150E-04  1.846987280806900E-05  8.356605626094055E-05
 1.943044546818384E+01  1.418980125457731E-04  1.831779792915711E-05  1.693493249801253E-04
 1.963715233486665E+01  1.499239418660319E-04  1.655442322712197E-05  2.529615769459800E-04
 1.984385920154946E+01  1.599973486971339E-04  1.337255588840236E-05  3.314061981163491E-04
 2.005056606823226E+01  1.743460770862442E-04  9.090005901324361E-06  4.015475413080838E-04
 2.025727293491507E+01  1.956667230818884E-04  4.394644067096110E-06  4.600658046941195E-04
 2.046397980159788E+01  2.229598477028038E-04  1.701768927997449E-07  5.039068870809904E-04
 2.067068666828068E+01  2.513200067584655E-04 -2.460112664248726E-06  5.306537822116972E-04
 2.087739353496349E+01  2.771673021238676E-04 -2.771526562472815E-06  5.394473752571433E-04
 2.108410040164630E+01  2.975953831944956E-04 -7.746209431669371E-07  5.311150802029263E-04
 2.129080726832910E+01  3.097619927023764E-04  3.112951379335982E-06  5.079105562733333E-04
 2.149751413501191E+01  3.138226164394881E-04  8.362312731602373E-06  4.732242133288420E-04
 2.170422100169472E+01  3.115648018307939E-04  1.444474484646463E-05  4.311886274504101E-04
 2.191092786837752E+01  3.040023645672274E-04  2.033689502067837E-05  3.859434703308989E-04
 2.211763473506033E+01  2.913254558314518E-04  2.529659415739793E-05  3.409286138178966E-04
 2.232434160174314E+01  2.729297576901995E-04  2.942186047127926E-05  2.995683753094433E-04
 2.253104846842594E+01  2.482632706294549E-04  3.261794164388654E-05  2.660500585535200E-04
 2.273775533510875E+01  2.191385672476558E-04  3.401720461582158E-05  2.442997579748946E-04
 2.294446220179156E+01  1.894452383197354E-04  3.324473249044502E-05  2.365425335685775E-04
 2.315116906847437E+01  1.623119647358702E-04  3.025065764061807E-05  2.421903312852386E-04
 2.335787593515717E+01  1.391612749042214E-04  2.508228255115874E-05  2.577674671391320E-04
 2.356458280183998E+01  1.212780908742030E-04  1.905258061163373E-05  2.792294779046245E-04
 2.377128966852279E+01  1.107122513165403E-04  1.397620170284775E-05  3.031078042150526E-04
 2.397799653520559E+01  1.087685664589565E-04  1.038436102840379E-05  3.257620680393661E-04
 2.418470340188840E+01  1.149947379712754E-04  7.918205674473100E-06  3.444993162905891E-04
 2.439141026857121E+01  1.269680861620912E-04  6.135754084590772E-06  3.580864901303535E-04
 2.459811713525401E+01  1.412310762839864E-04  5.006059003109797E-06  3.640674888887863E-04
 2.480482400193682E+01  1.543122608012436E-04  4.706952769994999E-06  3.594968874840246E-04
 2.501153086861963E+01  1.619989093522116E-04  4.523132745903879E-06  3.440693986304019E-04
 2.521823773530243E+01  1.607644690070137E-04  3.455982932276669E-06  3.187620889939236E-04
 2.542494460198524E+01  1.512519899084597E-04  1.114295185677960E-06  2.839975870028780E-04
 2.563165146866805E+01  1.366911671452399E-04 -2.255572762122071E-06  2.402050009297566E-04
 2.583835833535085E+01  1.185848869525840E-04 -6.367020684905356E-06  1.882544529895752E-04
