# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v2.0.8-274-g813ffda                                         
#!BT DATE                        06-APR-2021_15:54:05_+0200                                  
#!BT SYSID                       [none]                                                      
#!BT NATOMS                      44                                                          
#!BT NTYPES                      4                                                           
#!BT ATOMSPERTYPE                20,2,4,18                                                   
#!BT NELEC                       6.600000E+01,6.600000E+01                                   
#!BT DX                   a0     3.500000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   2.067069E-01                                                
#!BT BOOSTMASK                   global                                                      
#!BT BOOSTENERGY          Ry     1.000000E-07                                                
#!BT BOOSTKVEC                   0.000000E+00,0.000000E+00,1.000000E+00                      
#!BT EXCITATION                  no                                                          
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      0                                                           
#!BT LASERFREQ            Ry                                                                 
#!BT LASERINT             W/cm^2                                                             
#!BT LASEREFIELD          E_ry                                                               
#!BT LASERPOLX                                                                               
#!BT LASERPOLY                                                                               
#!BT LASERPOLZ                                                                               
#!BT LASERSTART           t_ry                                                               
#!BT LASEREND             t_ry                                                               
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT DIP0                 dip_ry -6.321277E-03,-1.125717E+00,-4.509021E-02                   
#time                 |           x          |           y          |           z          |
 0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
 2.067068666828068E-01 -1.647101398659020E-06 -6.957437115318044E-08 -1.936316328093976E-03
 4.134137333656137E-01 -8.253085546287668E-06 -2.445163964637231E-07 -3.361283623553556E-03
 6.201206000484205E-01 -3.447712303547828E-05 -1.950770243119848E-06 -4.305798021921853E-03
 8.268274667312273E-01 -9.487409264547202E-05 -6.854765256747442E-06 -4.864464837226870E-03
 1.033534333414034E+00 -1.898392411311001E-04 -1.520632904572494E-05 -5.081521207198382E-03
 1.240241200096841E+00 -3.068645403993264E-04 -2.593216426416411E-05 -5.010114450561008E-03
 1.446948066779648E+00 -4.277570298369723E-04 -3.724012365546869E-05 -4.693015912859387E-03
 1.653654933462455E+00 -5.347709504780838E-04 -4.723720726240721E-05 -4.178177918078840E-03
 1.860361800145262E+00 -6.142204638634689E-04 -5.441952293661068E-05 -3.520447921641065E-03
 2.067068666828068E+00 -6.570460675288069E-04 -5.802358597284396E-05 -2.779892922468427E-03
 2.273775533510875E+00 -6.588626924149549E-04 -5.798613070329139E-05 -2.017021139564076E-03
 2.480482400193682E+00 -6.182067095752567E-04 -5.451079601326292E-05 -1.283343082470273E-03
 2.687189266876489E+00 -5.367444853190007E-04 -4.781756885252619E-05 -6.143673201940078E-04
 2.893896133559296E+00 -4.204059026791281E-04 -3.836027764747563E-05 -3.521906111416534E-05
 3.100603000242102E+00 -2.795881308999661E-04 -2.700643085229437E-05  4.344709161402463E-04
 3.307309866924909E+00 -1.278414657255519E-04 -1.492335944397460E-05  7.828081887982508E-04
 3.514016733607716E+00  2.124035393098050E-05 -3.185004445072082E-06  1.009919108306855E-03
 3.720723600290523E+00  1.561998907217031E-04  7.443736278034407E-06  1.127742610506695E-03
 3.927430466973330E+00  2.677814430090304E-04  1.632871991441576E-05  1.155257495886026E-03
 4.134137333656136E+00  3.487701097829752E-04  2.279037451580201E-05  1.111726203179647E-03
 4.340844200338943E+00  3.941969810580198E-04  2.645106534937547E-05  1.011452222114677E-03
 4.547551067021750E+00  4.015138794213786E-04  2.736776337797231E-05  8.630505468992106E-04
 4.754257933704557E+00  3.712517842957503E-04  2.573112957926504E-05  6.754557040739920E-04
 4.960964800387364E+00  3.074477636829803E-04  2.184136544558513E-05  4.629623960749132E-04
 5.167671667070171E+00  2.179661867330622E-04  1.630024858578771E-05  2.424578845161007E-04
 5.374378533752978E+00  1.130180549447531E-04  9.716500818601759E-06  2.533578351734955E-05
 5.581085400435785E+00  2.384894570798754E-06  2.363789174397724E-06 -1.838255469865241E-04
 5.787792267118591E+00 -1.049110136391194E-04 -5.509772847966943E-06 -3.800175411488582E-04
 5.994499133801398E+00 -2.013687400684184E-04 -1.299158612089180E-05 -5.558915588991173E-04
 6.201206000484205E+00 -2.829688642843027E-04 -1.853870066548247E-05 -7.047567076971378E-04
 6.407912867167012E+00 -3.487538602371942E-04 -2.157061001639704E-05 -8.192683980505627E-04
 6.614619733849818E+00 -3.993601533278353E-04 -2.329925564703572E-05 -8.900319177909261E-04
 6.821326600532625E+00 -4.356563444951672E-04 -2.479692730261718E-05 -9.112917340576149E-04
 7.028033467215432E+00 -4.580752852022928E-04 -2.554706312873911E-05 -8.849774116787348E-04
 7.234740333898239E+00 -4.666253581568722E-04 -2.474522271045387E-05 -8.153543436331401E-04
 7.441447200581046E+00 -4.614389248004547E-04 -2.252114017120554E-05 -7.057983767034468E-04
 7.648154067263853E+00 -4.425401612683606E-04 -1.912624883204650E-05 -5.636266752805791E-04
 7.854860933946660E+00 -4.094252765498461E-04 -1.408903610422563E-05 -3.984727077234740E-04
 8.061567800629465E+00 -3.623332613742055E-04 -7.176185034207805E-06 -2.186856586919861E-04
 8.268274667312273E+00 -3.018498513144294E-04  7.237148644811953E-07 -3.441591910878505E-05
 8.474981533995079E+00 -2.272682397546104E-04  8.243199523194633E-06  1.433248105471019E-04
 8.681688400677887E+00 -1.390478817945035E-04  1.414656351106380E-05  3.053817948590123E-04
